timestamp,namespace,pod,container,cpu_util,mem_util,net_in,net_out,disk_read,disk_write,mem_rss,mem_cache
2026-03-10T16:41:15.366710+00:00,monitoring,kube-state-metrics-79d59f7d7d-bclm5,kube-state-metrics,0.003616326095775972,70557696.0,3622.973624926869,42751.288550299134,0.0,0.0,54804480.0,18825216.0
2026-03-10T16:41:24.513359+00:00,default,chcekone-8464c69d8f-mnr5t,nginx,0.0,10309632.0,0.0,0.0,0.0,0.0,8294400.0,61440.0
2026-03-10T16:41:24.513359+00:00,default,chcekone-8464c69d8f-zgw7w,nginx,0.0,10211328.0,0.0,0.0,0.0,0.0,8257536.0,61440.0
2026-03-10T16:41:24.513359+00:00,kube-flannel,kube-flannel-ds-dl8kh,kube-flannel,0.03006771605557381,53563392.0,8926.105541044835,133589.659882308,0.0,0.0,40341504.0,13799424.0
2026-03-10T16:41:24.513359+00:00,kube-system,cadvisor-b8456,cadvisor,0.2740131779398246,337039360.0,1269.6782766114388,80341.80840018502,0.0,0.0,250245120.0,0.0
2026-03-10T16:41:24.513359+00:00,kube-system,kube-proxy-glzhb,kube-proxy,0.0009611433935192832,54951936.0,8963.022236291636,134717.8407789415,0.0,0.0,44900352.0,14671872.0
2026-03-10T16:41:24.513359+00:00,monitoring,kube-state-metrics-79d59f7d7d-bclm5,kube-state-metrics,0.0036256753008163077,70557696.0,3656.09048485488,42912.032767999655,0.0,0.0,54804480.0,18825216.0
2026-03-10T16:41:33.765998+00:00,default,chcekone-8464c69d8f-mnr5t,nginx,0.0,10309632.0,0.0,0.0,0.0,0.0,8294400.0,61440.0
2026-03-10T16:41:33.765998+00:00,default,chcekone-8464c69d8f-zgw7w,nginx,0.0,10211328.0,0.0,0.0,0.0,0.0,8257536.0,61440.0
2026-03-10T16:41:33.765998+00:00,kube-flannel,kube-flannel-ds-dl8kh,kube-flannel,0.029946331249889643,53563392.0,8984.981483506192,133520.67668200567,0.0,0.0,40341504.0,13799424.0
2026-03-10T16:41:33.765998+00:00,kube-system,cadvisor-b8456,cadvisor,0.2735827375993959,344756224.0,1284.5675942593389,81271.14750194368,0.0,0.0,250245120.0,0.0
2026-03-10T16:41:33.765998+00:00,kube-system,kube-proxy-glzhb,kube-proxy,0.0009456559813639199,54951936.0,9033.064743943127,134784.66299961414,0.0,0.0,44900352.0,14671872.0
2026-03-10T16:41:33.765998+00:00,monitoring,kube-state-metrics-79d59f7d7d-bclm5,kube-state-metrics,0.003582459002284884,70557696.0,3667.269249490325,42829.42420663505,0.0,0.0,54804480.0,18825216.0
2026-03-10T16:41:42.942095+00:00,default,chcekone-8464c69d8f-mnr5t,nginx,0.0,10309632.0,0.0,0.0,0.0,0.0,8294400.0,61440.0
2026-03-10T16:41:42.942095+00:00,default,chcekone-8464c69d8f-zgw7w,nginx,0.0,10211328.0,0.0,0.0,0.0,0.0,8257536.0,61440.0
