epoch,train_loss,val_loss,lr,epoch_seconds,improved
1,0.2680100603912187,0.6717426343184507,0.001,533.7399886999992,True
2,0.17292736506339698,0.6744902129630237,0.001,534.4286441000004,False
3,0.12737533673335086,0.6585365333667773,0.001,605.9896886999995,True
4,0.10282393502473103,0.6181254756460597,0.001,582.6663534000036,True
5,0.09724605149790272,0.5418497338871122,0.001,569.2252932000047,True
6,0.09325751628460455,0.5408665302126884,0.001,566.037937699999,True
7,0.09373235431278297,0.4844665992220029,0.001,569.4071899000046,True
8,0.17624496661468458,0.4890892634812166,0.001,567.6721275999953,False
9,0.09107702570687107,0.5135602392643355,0.001,566.179550599998,False
10,0.5344070150481189,0.5189612169054383,0.001,565.8181101000009,False
11,0.08921728422861966,0.47576750695795433,0.001,557.0189438000016,True
12,0.08886616790280696,0.9189742720088175,0.001,555.4787466999987,False
13,0.09144788118971975,0.4686175842916263,0.001,552.3364695000055,True
14,0.09135859785803759,0.4728505529254693,0.001,559.0897648000027,False
15,0.10852170343034553,0.5324949416876896,0.001,558.9872869999963,False
16,0.09051689421531577,0.45676124440536514,0.001,551.1622779000027,True
17,0.08716788570819774,0.46180838430372606,0.001,554.6951421999984,False
18,0.09320811314496898,0.4575371998351123,0.001,558.2203672000032,False
19,0.08565318884892965,0.46229442526230385,0.001,556.9222796999966,False
20,0.0879105053516455,0.4617901236266834,0.001,556.7852764999989,False
